Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,LeBron James,28,MIA,120.0,1207.0,1210,0.998,76,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,0.7071240105540898,0.21108179419525067,0.19261213720316622,0.044854881266490766,0.0237467018469657,1.1794195250659631,2013
2,Kevin Durant,24,OKC,0.0,765.0,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,0.7298701298701299,0.2051948051948052,0.11948051948051946,0.03636363636363636,0.03376623376623377,1.1246753246753247,2013
3,Carmelo Anthony,28,NYK,1.0,475.0,1210,0.393,67,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,0.7756756756756756,0.1864864864864865,0.07027027027027027,0.021621621621621623,0.013513513513513514,1.0675675675675675,2013
4,Chris Paul,27,LAC,0.0,289.0,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,0.5059880239520957,0.11077844311377247,0.2904191616766467,0.0718562874251497,0.0029940119760479044,0.9820359281437125,2013
5,Kobe Bryant,34,LAL,0.0,184.0,1210,0.152,78,38.6,27.3,5.6,6.0,1.4,0.3,0.463,0.324,0.839,10.9,0.174,0.7072538860103627,0.14507772020725387,0.15544041450777202,0.03626943005181347,0.007772020725388601,1.0518134715025906,2013
6,Tony Parker,30,SAS,0.0,86.0,1210,0.071,66,32.9,20.3,3.0,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,0.6170212765957447,0.0911854103343465,0.23100303951367782,0.024316109422492405,0.0030395136778115506,0.9665653495440729,2013
7,Tim Duncan,36,SAS,0.0,65.0,1210,0.054,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,0.5913621262458472,0.3289036544850498,0.08970099667774087,0.02325581395348837,0.08970099667774087,1.1229235880398671,2013
8,James Harden,23,HOU,0.0,33.0,1210,0.027,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,0.6762402088772846,0.12793733681462144,0.1514360313315927,0.046997389033942565,0.013054830287206267,1.0156657963446474,2013
9,Russell Westbrook,24,OKC,0.0,9.0,1210,0.007,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,0.664756446991404,0.1489971346704871,0.21203438395415475,0.05157593123209169,0.008595988538681949,1.0859598853868195,2013
10,Dwyane Wade,31,MIA,0.0,5.0,1210,0.004,69,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,0.6109510086455331,0.1440922190201729,0.14697406340057634,0.0547550432276657,0.023054755043227664,0.9798270893371755,2013
11,Stephen Curry,24,GSW,0.0,3.0,1210,0.002,78,38.2,22.9,4.0,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18,0.5994764397905759,0.10471204188481674,0.1806282722513089,0.041884816753926704,0.005235602094240838,0.9319371727748691,2013
12,Kevin Garnett,36,BOS,0.0,1.0,1210,0.001,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133,0.4983164983164984,0.26262626262626265,0.07744107744107744,0.03703703703703704,0.030303030303030304,0.9057239057239058,2013
12,Marc Gasol,28,MEM,0.0,1.0,1210,0.001,80,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197,0.40285714285714286,0.22285714285714286,0.11428571428571428,0.02857142857142857,0.04857142857142857,0.8171428571428572,2013
12,Ty Lawson,25,DEN,0.0,1.0,1210,0.001,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141,0.48546511627906974,0.07848837209302327,0.20058139534883723,0.0436046511627907,0.002906976744186047,0.811046511627907,2013
12,David Lee,29,GSW,0.0,1.0,1210,0.001,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0.0,0.797,9.1,0.15,0.5027173913043479,0.30434782608695654,0.09510869565217392,0.02173913043478261,0.008152173913043478,0.9320652173913044,2013
12,Joakim Noah,27,CHI,0.0,1.0,1210,0.001,66,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,0.32336956521739135,0.3016304347826087,0.10869565217391305,0.03260869565217391,0.05706521739130435,0.8233695652173914,2013
